Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Nick Gordon,Twins,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.255,0.298,0.366,0.665,0.285,74,0,0,-0.4,0.1,0,sa828662
Brian O'Grady,Rays,2,6,6,1,0,0,0,1,1,1,2,0,0,0,0.222,0.296,0.404,0.7,0.296,86,0,0.1,-0.1,0,0,16729
Vimael Machin,Athletics,2,7,6,1,0,0,0,1,1,1,1,0,0,0,0.244,0.317,0.344,0.662,0.286,79,0,0,-0.2,0,0,sa602488
Eduardo Nunez,,5,20,19,5,1,0,0,2,2,1,3,0,0,0,0.26,0.292,0.396,0.688,0.291,82,0,-0.2,-0.5,0,0,6848
Yadiel Hernandez,Nationals,2,7,6,2,0,0,0,1,1,1,2,0,0,0,0.265,0.332,0.43,0.762,0.322,95,0,0,0,-0.1,0,sa724030
Logan Morrison,,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.238,0.318,0.477,0.795,0.332,102,0,0,0,-0.1,0,9205
Kean Wong,Giants,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.251,0.304,0.356,0.66,0.284,76,0,0,-0.4,0.1,0,15994
Luis Torrens,Padres,3,12,11,3,1,0,0,1,1,1,2,0,0,0,0.24,0.298,0.365,0.663,0.284,75,0,0,-0.4,0.2,0,15905
Garrett Hampson,Rockies,72,291,263,71,13,3,6,32,31,22,61,2,13,5,0.271,0.328,0.403,0.731,0.313,76,1.1,-0.5,-7.9,-1.4,0,19262
Alex Blandino,Reds,5,20,17,4,1,0,0,2,2,2,5,0,0,0,0.225,0.324,0.353,0.677,0.297,78,0,-0.1,-0.6,0,0,16271
Evan Gattis,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.247,0.308,0.474,0.781,0.325,100,0,0,0,0,0,11003
Caleb Joseph,Blue Jays,3,12,11,2,1,0,0,1,1,1,3,0,0,0,0.214,0.259,0.343,0.602,0.257,56,0,0,-0.7,0.3,0,7087
Yermin Mercedes,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.317,0.435,0.753,0.317,99,0,0,0,0,0,sa597096
Brian McCann,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.321,0.419,0.74,0.315,94,0,0,0,0,0,4810
David Freese,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.264,0.345,0.446,0.791,0.336,108,0,0,0,0,0,9549
Dustin Fowler,Athletics,2,7,6,2,0,0,0,1,1,0,2,0,0,0,0.24,0.28,0.393,0.673,0.284,77,0,0,-0.2,0,0,17098
Ryan Jeffers,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.253,0.308,0.41,0.718,0.305,88,0,0,0,0,0,sa3007051
Raudy Read,Nationals,2,6,6,1,0,0,0,1,1,0,1,0,0,0,0.242,0.283,0.397,0.68,0.286,71,0,0,-0.2,0.1,0,15766
Yangervis Solarte,,3,14,13,3,1,0,0,2,2,1,2,0,0,0,0.253,0.306,0.421,0.727,0.306,85,-0.1,-0.1,-0.3,-0.1,0,5352
Nolan Jones,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.334,0.402,0.736,0.317,92,0,0,0,0,0,sa917941
Cal Raleigh,Mariners,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.281,0.404,0.685,0.288,81,0,0,0,0,0,sa3008377
Joe Mauer,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.252,0.33,0.366,0.696,0.302,85,0,0,0,0,0,1857
Brett Cumberland,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.311,0.372,0.682,0.295,80,0,0,0,0,0,sa915611
Cooper Hummel,Brewers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.315,0.38,0.695,0.301,82,0,0,0,0,0,sa918412
Cristian Pache,Braves,6,27,25,6,1,0,1,3,3,2,6,0,0,0,0.253,0.298,0.39,0.688,0.292,76,0,0,-0.8,0,0,sa916722
Ronnier Mustelier,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.271,0.329,0.405,0.734,0.313,92,0,0,0,0,0,sa601536
Miguel Montero,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.305,0.381,0.685,0.294,80,0,0,0,0,0,3364
Lorenzo Quintana,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.277,0.4,0.677,0.286,79,0,0,0,0,0,sa3005394
Brett Sullivan,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.29,0.374,0.664,0.283,77,0,0,0,0,0,sa857232
Juan Graterol,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.262,0.298,0.359,0.657,0.282,72,0,0,0,0,0,5398
Balbino Fuenmayor,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.263,0.303,0.436,0.739,0.309,90,0,0,0,0,0,sa356978
Seth Beer,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.26,0.322,0.443,0.765,0.321,96,0,0,0,0,0,sa3006658
Justin Bour,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.334,0.47,0.804,0.337,108,0,0,0,0,0,9744
Tomas Telis,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.272,0.313,0.385,0.697,0.297,82,0,0,0,0,0,10067
Tyler Nevin,Rockies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.281,0.343,0.438,0.781,0.333,90,0,0,0,0,0,sa874752
Trevor Larnach,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.265,0.324,0.414,0.737,0.313,93,0,0,0,0,0,sa3008376
Wilson Garcia,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.288,0.41,0.698,0.292,76,0,0,0,0,0,sa596287
Jamie Ritchie,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.224,0.309,0.328,0.637,0.281,76,0,0,0,0,0,sa829058
Xavier Fernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.295,0.386,0.681,0.29,77,0,0,0,0,0,sa737922
Victor Mendoza,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.252,0.324,0.419,0.743,0.316,94,0,0,0,0,0,sa722315
Jarred Kelenic,Mariners,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.299,0.421,0.72,0.304,92,0,0,0,0,0,sa3007741
Keibert Ruiz,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.249,0.302,0.367,0.669,0.286,78,0,0,0,0,0,sa872528
Eric Filia,Mariners,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.26,0.336,0.368,0.704,0.304,92,0,0,0,0,0,sa827359
Austin Listi,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.313,0.415,0.728,0.309,88,0,0,0,0,0,sa3004170
Derek Dietrich,Reds,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.322,0.433,0.755,0.32,93,0,0,0,0,0,10542
Justin Williams,Cardinals,3,13,12,3,1,0,0,1,2,1,3,0,0,0,0.249,0.302,0.404,0.707,0.299,85,0,0,-0.3,-0.2,0,15490
Kevin Padlo,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.302,0.386,0.687,0.294,85,0,0,0,0,0,sa828961
Kade Scivicque,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.294,0.375,0.669,0.285,74,0,0,0,0,0,sa875053
Colton Welker,Rockies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.288,0.337,0.445,0.782,0.329,87,0,0,0,0,0,sa917962
Corban Joseph,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.275,0.323,0.403,0.725,0.309,90,0,0,0,0,0,5503
Jose Rojas,Angels,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.291,0.409,0.7,0.295,84,0,0,0,0,0,sa918928
Riley Adams,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.293,0.359,0.652,0.282,73,0,0,0,0,0,sa829749
Odubel Herrera,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.32,0.43,0.751,0.317,93,0,0,0,0,0,11476
Carlos Garay,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.261,0.299,0.367,0.666,0.286,74,0,0,0,0,0,sa657431
Ryan Costello,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.304,0.398,0.702,0.299,83,0,0,0,0,0,sa3004071
Luis Castro,Brewers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.315,0.403,0.718,0.307,86,0,0,0,0,0,sa736954
Joey Bart,Giants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.282,0.388,0.67,0.283,75,0,0,0,0,0,sa3007786
Yusniel Diaz,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.251,0.319,0.408,0.727,0.31,90,0,0,0,0,0,sa912848
Chad De La Guerra,Red Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.302,0.393,0.694,0.296,78,0,0,0,0,0,sa875729
Alonzo Harris,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.302,0.411,0.713,0.301,85,0,0,0,0,0,sa455964
Jhon Nunez,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.294,0.364,0.658,0.283,72,0,0,0,0,0,sa736923
Michael De La Cruz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.294,0.354,0.648,0.28,72,0,0,0,0,0,sa736830
Eric Campbell,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.247,0.328,0.38,0.707,0.307,93,0,0,0,0,0,6938
Tyler Stephenson,Reds,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.306,0.37,0.677,0.292,75,0,0,0,0,0,sa874242
Cesar Puello,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.325,0.379,0.705,0.305,87,0,0,0,0,0,7216
Jose Godoy,Cardinals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.299,0.355,0.654,0.283,75,0,0,0,0,0,sa657267
Taylor Walls,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.298,0.358,0.656,0.282,77,0,0,0,0,0,sa915802
Luis Juarez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.296,0.369,0.665,0.285,73,0,0,0,0,0,sa509384
Wander Franco,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.249,0.301,0.355,0.656,0.282,76,0,0,0,0,0,sa3007033
Adrian Beltre,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.303,0.399,0.702,0.298,82,0,0,0,0,0,639
Mark Mathias,Brewers,5,20,18,4,1,0,0,2,2,2,4,0,0,0,0.23,0.301,0.36,0.661,0.286,72,0,0,-0.7,0.1,0,sa875006
Ka'ai Tom,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.315,0.417,0.733,0.31,88,0,0,0,0,0,sa875069
Taylor Davis,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.306,0.343,0.648,0.282,71,0,0,0,0,0,12782
Carlos Perez,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.288,0.375,0.663,0.283,77,0,0,0,0,0,10642
Aderlin Rodriguez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.247,0.291,0.42,0.711,0.299,83,0,0,0,0,0,sa511026
David Wright,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.317,0.407,0.724,0.31,90,0,0,0,0,0,3787
Nick Dini,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.252,0.305,0.41,0.714,0.303,85,0,0,0,0,0,18206
Dilson Herrera,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.235,0.295,0.411,0.706,0.298,82,0,0,0,0,0,14335
Brian O'Keefe,Mariners,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.282,0.346,0.628,0.272,70,0,0,0,0,0,sa829152
Ramon Urias,Cardinals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.247,0.31,0.379,0.69,0.297,83,0,0,0,0,0,sa597169
Chadwick Tromp,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.297,0.376,0.673,0.289,73,0,0,0,0,0,sa746793
Drew Ferguson,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.232,0.321,0.36,0.681,0.297,86,0,0,0,0,0,sa875766
Christian Villanueva,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.295,0.426,0.72,0.304,86,0,0,0,0,0,11738
Patrick Mazeika,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.286,0.354,0.64,0.276,72,0,0,0,0,0,sa827167
Alejandro Kirk,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.293,0.344,0.637,0.276,69,0,0,0,0,0,sa3005337
Colby Rasmus,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.298,0.434,0.732,0.307,89,0,0,0,0,0,9893
Nick Tanielu,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.247,0.295,0.38,0.675,0.287,80,0,0,0,0,0,sa829082
Daniel Pinero,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.299,0.362,0.661,0.285,74,0,0,0,0,0,sa738204
Dominic Miroglio,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.299,0.363,0.662,0.284,72,0,0,0,0,0,sa739013
Yadir Drake,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.258,0.315,0.404,0.719,0.306,88,0,0,0,0,0,sa869674
Alex De Goti,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.233,0.29,0.358,0.648,0.279,74,0,0,0,0,0,sa919320
Max Moroff,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.311,0.347,0.658,0.289,81,0,0,0,0,0,14556
Andy Ibanez,Rangers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.317,0.396,0.713,0.305,79,0,0,0,0,0,sa914201
Colin Walsh,Angels,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.326,0.341,0.667,0.296,84,0,0,0,0,0,10961
Jamie Westbrook,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.256,0.305,0.402,0.707,0.3,82,0,0,0,0,0,sa737824
Wilfredo Tovar,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.263,0.302,0.359,0.661,0.284,73,0,0,0,0,0,10416
Trey Harris,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.269,0.316,0.415,0.731,0.31,88,0,0,0,0,0,sa3006876
Sam Tidaback,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.283,0.367,0.65,0.278,69,0,0,0,0,0,sa918476
Jose Fernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.271,0.321,0.435,0.756,0.319,96,0,0,0,0,0,19254
Stevie Berman,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.289,0.349,0.638,0.276,71,0,0,0,0,0,sa873599
Yonny Hernandez,Rangers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.337,0.328,0.665,0.295,73,0,0,0,0,0,sa872473
Ben Rortvedt,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.29,0.351,0.641,0.275,67,0,0,0,0,0,sa917942
Nate Orf,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.318,0.339,0.657,0.288,80,0,0,0,0,0,15407
Andrew Burns,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.303,0.39,0.693,0.297,83,0,0,0,0,0,12779
Randy Cesar,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.249,0.303,0.376,0.679,0.291,78,0,0,0,0,0,sa657542
Hoy Jun Park,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.309,0.328,0.637,0.281,72,0,0,0,0,0,sa877610
Robbie Glendinning,Pirates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.3,0.368,0.668,0.287,76,0,0,0,0,0,sa3004978
Drew Maggi,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.31,0.34,0.649,0.284,73,0,0,0,0,0,sa549144
Vidal Brujan,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.248,0.304,0.353,0.656,0.284,77,0,0,0,0,0,sa872786
Braden Shewmake,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.305,0.371,0.676,0.291,75,0,0,0,0,0,sa3010332
Trenton Brooks,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.254,0.309,0.406,0.715,0.304,84,0,0,0,0,0,sa873268
Ryan LaMarre,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.251,0.31,0.383,0.693,0.297,82,0,0,0,0,0,10700
Jeremy Martinez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.294,0.343,0.637,0.277,68,0,0,0,0,0,sa738674
Abraham Almonte,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.319,0.41,0.73,0.311,89,0,0,0,0,0,5486
Jeter Downs,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.29,0.37,0.659,0.282,75,0,0,0,0,0,sa3004615
Laz Rivera,White Sox,2,7,6,2,0,0,0,1,1,0,1,0,0,0,0.243,0.277,0.341,0.618,0.265,64,0,0,-0.3,0.1,0,sa3004128
Connor Wong,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.271,0.374,0.645,0.274,70,0,0,0,0,0,sa873978
Eddy Alvarez,Marlins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.307,0.342,0.648,0.283,76,0,0,0,0,0,sa806877
Travis Blankenhorn,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.288,0.397,0.686,0.289,77,0,0,0,0,0,sa874969
Victor Martinez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.245,0.301,0.369,0.67,0.287,75,0,0,0,0,0,393
Ryan Lavarnway,Marlins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.225,0.299,0.358,0.657,0.285,77,0,0,0,0,0,8879
Max Pentecost,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.227,0.27,0.37,0.639,0.271,66,0,0,0,0,0,sa601924
Josh Palacios,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.247,0.313,0.378,0.691,0.297,83,0,0,0,0,0,sa829562
Tyler Marlette,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.284,0.359,0.642,0.276,68,0,0,0,0,0,sa597836
Tristan Gray,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.222,0.289,0.373,0.662,0.283,77,0,0,0,0,0,sa829756
Bruce Maxwell,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.221,0.293,0.343,0.636,0.275,72,0,0,0,0,0,13866
Wynston Sawyer,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.215,0.288,0.333,0.62,0.271,66,0,0,0,0,0,sa548430
Zach Reks,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.302,0.398,0.701,0.299,86,0,0,0,0,0,sa3004166
Ryan Casteel,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.284,0.379,0.663,0.282,70,0,0,0,0,0,sa549286
Ian Rice,Cubs,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.297,0.344,0.641,0.279,69,0,0,0,0,0,sa658968
John Nogowski,Cardinals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.257,0.334,0.39,0.725,0.314,95,0,0,0,0,0,sa829744
Mitch Nay,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.293,0.392,0.685,0.291,78,0,0,0,0,0,sa657873
Luis Barrera,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.255,0.299,0.387,0.686,0.291,82,0,0,0,0,0,sa736690
Travis Jones,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.253,0.317,0.373,0.69,0.298,82,0,0,0,0,0,sa829805
Oneil Cruz,Pirates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.294,0.375,0.669,0.284,74,0,0,0,0,0,sa917318
Owen Miller,Padres,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.298,0.36,0.658,0.283,74,0,0,0,0,0,sa3006673
Freddy Fermin,Royals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.238,0.28,0.36,0.64,0.273,65,0,0,0,0,0,sa918173
Jose Pirela,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.255,0.306,0.406,0.712,0.301,84,0,0,0,0,0,5485
Eli White,Rangers,5,20,18,4,1,0,0,2,2,1,5,0,0,0,0.237,0.3,0.355,0.655,0.283,65,0,0,-0.9,0.2,0,sa738478
Rainel Rosario,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.31,0.393,0.703,0.301,84,0,0,0,0,0,sa396238
Pablo Reyes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.253,0.311,0.402,0.713,0.304,86,0,0,0,0,0,16357
Ronald Torreyes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.263,0.296,0.378,0.674,0.287,76,0,0,0,0,0,11400
Chris Gittens,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.225,0.309,0.417,0.726,0.309,91,0,0,0,0,0,sa829048
Mason Williams,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.268,0.318,0.398,0.716,0.305,87,0,0,0,0,0,11859
Zach Green,Giants,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.217,0.284,0.4,0.684,0.289,79,0,0,0,0,0,14973
Royce Lewis,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.285,0.369,0.654,0.279,70,0,0,0,0,0,sa3004259
Ryan Boldt,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.241,0.297,0.381,0.678,0.29,81,0,0,0,0,0,sa738262
Dan Butler,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.299,0.336,0.636,0.278,69,0,0,0,0,0,9968
Zach McKinstry,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.296,0.376,0.672,0.288,79,0,0,0,0,0,sa918920
L.T. Tolbert,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.271,0.312,0.376,0.688,0.295,78,0,0,0,0,0,sa876146
Luis Santana,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.249,0.297,0.354,0.651,0.281,75,0,0,0,0,0,sa921577
Daniel Palka,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.226,0.3,0.435,0.735,0.308,92,0,0,0,0,0,14897
Julio Rodriguez,Cardinals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.276,0.366,0.642,0.272,67,0,0,0,0,0,sa917669
Jordan George,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.324,0.36,0.684,0.299,83,0,0,0,0,0,sa876211
Colton Shaver,Astros,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.208,0.282,0.373,0.655,0.28,75,0,0,0,0,0,sa915847
Luis Campusano,Padres,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.288,0.344,0.632,0.273,67,0,0,0,0,0,sa3004041
Kendrys Morales,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.251,0.327,0.439,0.765,0.324,100,0,0,0,0,0,8610
Dorssys Paulino,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.229,0.298,0.349,0.647,0.281,71,0,0,0,0,0,sa659464
Marco Hernandez,Red Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.268,0.306,0.383,0.689,0.294,76,0,0,0,0,0,13154
Andrew Toles,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.294,0.404,0.698,0.295,83,0,0,0,0,0,13414
Boog Powell,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.235,0.315,0.342,0.656,0.288,80,0,0,0,0,0,15103
Raffy Lopez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.212,0.282,0.356,0.638,0.272,65,0,0,0,0,0,12606
Forrest Wall,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.237,0.299,0.36,0.659,0.284,75,0,0,0,0,0,sa828682
Jon Kemmer,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.228,0.302,0.4,0.702,0.299,83,0,0,0,0,0,sa738208
Christian Lopes,Marlins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.31,0.344,0.654,0.285,77,0,0,0,0,0,sa601044
Brian Serven,Rockies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.244,0.299,0.401,0.701,0.298,67,0,0,0,0,0,sa857231
Jason Goldstein,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.22,0.271,0.339,0.61,0.263,63,0,0,0,0,0,sa857721
Jason Krizan,Athletics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.239,0.307,0.363,0.67,0.289,81,0,0,0,0,0,sa546842
Leonys Martin,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.23,0.295,0.379,0.674,0.288,76,0,0,0,0,0,11846
Alex Guerrero,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.234,0.297,0.428,0.725,0.305,87,0,0,0,0,0,15670
Jett Bandy,Red Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.28,0.372,0.652,0.278,66,0,0,0,0,0,12508
Ramon Flores,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.246,0.328,0.366,0.694,0.301,85,0,0,0,0,0,11165
Mitchell Kranson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.284,0.347,0.631,0.272,65,0,0,0,0,0,sa918156
Brandon Marsh,Angels,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.309,0.363,0.672,0.289,80,0,0,0,0,0,sa917944
Rene Pinto,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.223,0.275,0.331,0.606,0.262,63,0,0,0,0,0,sa826668
P.J. Higgins,Cubs,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.296,0.336,0.631,0.275,66,0,0,0,0,0,sa875573
Dante Bichette,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.243,0.305,0.36,0.665,0.288,75,0,0,0,0,0,sa597776
Mandy Alvarez,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.24,0.285,0.38,0.665,0.283,74,0,0,0,0,0,sa913279
Clayton Daniel,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.301,0.354,0.656,0.283,72,0,0,0,0,0,sa3007646
